work_id,title,relationship,published,words,kudos
27896395,Owner of My Heart (Little Pieces),Katara/Zuko (Avatar),2020-12-05,415.0,32.0
27896272,What Started In Beautiful Rooms,Sokka/Zuko (Avatar),2020-12-05,878.0,35.0
25574854,The Dragon of the South,"Other Relationship Tags to Be Added, Sokka/Zuko (Avatar), Minor or Background Relationship(s)",2020-07-28,66045.0,595.0
26838538,Conflagration,"Katara/Zuko (Avatar), Katara & Zuko (Avatar), Suki/Ty Lee (Avatar), Aang/Katara (Avatar) temporarily, Mai & Zuko (Avatar) temporarily",2020-10-05,54904.0,81.0
27896089,Barely Disguised,Mai/Ty Lee (Avatar),2020-12-05,1648.0,7.0
27857221,Born For This,"Nara Shikadai /Yue, Hakoda/Kya (Avatar), Suki / Kakashi Hatake, Ursa /Ibiki Morino, Nara Shikaku/Original Female Character(s), Nara Shikamaru/Original Female Character(s)",2020-12-03,7549.0,
27896023,Any Place It Goes Is Right,Katara/Sokka (Avatar),2020-12-05,5933.0,17.0
27728075,Smokeless Fire,,2020-11-26,16951.0,46.0
26363311,Want to Kiss?,"Azula/Ty Lee (Avatar), Sokka/Suki (Avatar), Aang/Katara (Avatar), Mai/Zuko (Avatar), Azula & Mai (Avatar), Azula & Suki (Avatar), Sokka & Zuko (Avatar), Azula & Zuko (Avatar)",2020-09-08,33317.0,166.0
27626618,a deep shade of purple (part one),"Azula & Ozai (Avatar), Azula/self",2020-11-19,8741.0,1.0
27831793,Road Trip,"Azula/Ty Lee (Avatar), Mai/Zuko (Avatar)",2020-12-05,5452.0,47.0
23360860,Embers [PODFIC],,2020-03-28,553.0,251.0
27895120,Amateur Theatrics [Podfic],Toph Beifong & Zuko,2020-12-05,4.0,5.0
24560845,When Language Fails,"Korra/Asami Sato, Minor or Background Relationship(s), Azula/Korra (Avatar), Mako/Asami Sato, Azula/Ty Lee (Avatar), Lin Beifong/Kya II, Mako/Prince Wu (Avatar), Bolin/Kuvira/Opal/Pabu (Avatar)",2020-06-05,202503.0,1266.0
